suburb,postcode,median_house_price_aud,median_house_rent_per_week_aud,sales_price_growth_pct_yoy,rental_price_growth_pct_yoy,source_url
Oakford,6121,1900000,550,53.8,,https://reiwa.com.au/suburb/oakford/
Ocean Reef,6027,1450000,1050,11.1,10.5,https://reiwa.com.au/suburb/ocean-reef/
Oldbury,6121,,,,,https://reiwa.com.au/suburb/oldbury/
Orange Grove,6109,1030000,,-20.8,,https://reiwa.com.au/suburb/orange-grove/
Orelia,6167,690000,590,15.5,7.3,https://reiwa.com.au/suburb/orelia/
Osborne Park,6017,965000,840,26.1,31.3,https://reiwa.com.au/suburb/osborne-park/
Padbury,6025,1130000,750,13.7,8.7,https://reiwa.com.au/suburb/padbury/
Palmyra,6157,1280000,850,22.3,13.3,https://reiwa.com.au/suburb/palmyra/
Parkerville,6081,1100000,,14.6,,https://reiwa.com.au/suburb/parkerville/
Parkwood,6147,915000,800,12.8,22.1,https://reiwa.com.au/suburb/parkwood/
Parmelia,6167,692000,592,15.5,2.1,https://reiwa.com.au/suburb/parmelia/
Paulls Valley,6076,,,,,https://reiwa.com.au/suburb/paulls-valley/
Pearsall,6065,852000,825,12.9,14.6,https://reiwa.com.au/suburb/pearsall/
Peppermint Grove,6011,6300000,1650,61.1,0,https://reiwa.com.au/suburb/peppermint-grove/
Peron,,,,,,https://reiwa.com.au/suburb/peron/
Perth,6000,1370000,800,9.2,12.4,https://reiwa.com.au/suburb/perth/
Perth Airport,6105,,,,,https://reiwa.com.au/suburb/perth-airport/
Piara Waters,6112,983000,830,18.5,10.7,https://reiwa.com.au/suburb/piara-waters/
Pickering Brook,6076,860000,,-3.4,,https://reiwa.com.au/suburb/pickering-brook/
Piesse Brook,6076,,,,,https://reiwa.com.au/suburb/piesse-brook/
Pinjar,6078,,,,,https://reiwa.com.au/suburb/pinjar/
Port Kennedy,6172,810000,650,15.7,0,https://reiwa.com.au/suburb/port-kennedy/
Postans,6167,,,,,https://reiwa.com.au/suburb/postans/
Queens Park,6107,833000,780,17,11.4,https://reiwa.com.au/suburb/queens-park/
Quinns Rocks,6030,984000,750,12.4,15.4,https://reiwa.com.au/suburb/quinns-rocks/
Red Hill,6056,,,,,https://reiwa.com.au/suburb/red-hill/
Redcliffe,6104,860000,730,15.4,4.3,https://reiwa.com.au/suburb/redcliffe/
Reservoir,,,,,,https://reiwa.com.au/suburb/reservoir/
Ridgewood,6030,800000,680,14.3,5.4,https://reiwa.com.au/suburb/ridgewood/
Riverton,6148,1210000,760,0.9,-5,https://reiwa.com.au/suburb/riverton/
Rivervale,6103,960000,750,14.3,5.3,https://reiwa.com.au/suburb/rivervale/
Rockingham,6168,830000,630,18.1,8.6,https://reiwa.com.au/suburb/rockingham/
Roleystone,6111,1130000,820,29.4,12.3,https://reiwa.com.au/suburb/roleystone/
Rossmoyne,6148,2060000,1200,14.8,60,https://reiwa.com.au/suburb/rossmoyne/
Rottnest Island,6161,,,,,https://reiwa.com.au/suburb/rottnest-island/
Safety Bay,6169,830000,700,15.7,18.6,https://reiwa.com.au/suburb/safety-bay/
Salter Point,6152,2100000,650,10.5,-27.8,https://reiwa.com.au/suburb/salter-point/
Samson,6163,1230000,665,30.2,-11.3,https://reiwa.com.au/suburb/samson/
Sawyers Valley,6074,935000,,11.3,,https://reiwa.com.au/suburb/sawyers-valley/
Scarborough,6019,1450000,1100,15.5,15.8,https://reiwa.com.au/suburb/scarborough/
Secret Harbour,6173,920000,682,15,4.9,https://reiwa.com.au/suburb/secret-harbour/
Serpentine,6125,1210000,,38.7,,https://reiwa.com.au/suburb/serpentine/
Seville Grove,6112,735000,700,13,7.7,https://reiwa.com.au/suburb/seville-grove/
Shelley,6148,1630000,925,4.6,15.6,https://reiwa.com.au/suburb/shelley/
Shenton Park,6008,2290000,1250,3.3,6.4,https://reiwa.com.au/suburb/shenton-park/
Shoalwater,6169,875000,610,11.3,4.3,https://reiwa.com.au/suburb/shoalwater/
Sinagra,6065,916000,800,18.9,18.5,https://reiwa.com.au/suburb/sinagra/
Singleton,6175,924000,670,15.4,5.2,https://reiwa.com.au/suburb/singleton/
Sorrento,6020,1980000,1000,17.9,-13,https://reiwa.com.au/suburb/sorrento/
South Fremantle,6162,1800000,1200,12.5,20,https://reiwa.com.au/suburb/south-fremantle/
South Guildford,6055,970000,850,15.5,6.3,https://reiwa.com.au/suburb/south-guildford/
South Lake,6164,860000,670,15.6,-5.6,https://reiwa.com.au/suburb/south-lake/
South Perth,6151,2340000,850,17.9,0,https://reiwa.com.au/suburb/south-perth/
Southern River,6110,1010000,850,12.3,9.7,https://reiwa.com.au/suburb/southern-river/
Spearwood,6163,935000,740,10.7,5.7,https://reiwa.com.au/suburb/spearwood/
St James,6102,875000,710,5.7,1.4,https://reiwa.com.au/suburb/st-james/
Stirling,6021,1430000,1050,9.4,13.5,https://reiwa.com.au/suburb/stirling/
Stoneville,6081,965000,,16.6,,https://reiwa.com.au/suburb/stoneville/
Stratton,6056,685000,670,14.2,21.8,https://reiwa.com.au/suburb/stratton/
Subiaco,6008,2230000,1200,13.6,11.6,https://reiwa.com.au/suburb/subiaco/
Success,6164,918000,780,13.3,4,https://reiwa.com.au/suburb/success/
Swan View,6056,785000,712,18.9,13.6,https://reiwa.com.au/suburb/swan-view/
Swanbourne,6010,2680000,2050,-6.1,28.1,https://reiwa.com.au/suburb/swanbourne/
Tamala Park,6030,,,,,https://reiwa.com.au/suburb/tamala-park/
Tapping,6065,980000,800,16,6.7,https://reiwa.com.au/suburb/tapping/
The Lakes,6556,,,,,https://reiwa.com.au/suburb/the-lakes/
The Spectacles,6167,,,,,https://reiwa.com.au/suburb/the-spectacles/
The Vines,6069,1110000,850,-0.2,16.4,https://reiwa.com.au/suburb/the-vines/
Thornlie,6108,830000,700,18.6,4.5,https://reiwa.com.au/suburb/thornlie/
Treeby,6164,980000,830,15.1,6.4,https://reiwa.com.au/suburb/treeby/
Trigg,6029,2820000,1300,22.4,36.8,https://reiwa.com.au/suburb/trigg/
Tuart Hill,6060,955000,700,17.5,0.7,https://reiwa.com.au/suburb/tuart-hill/
Two Rocks,6037,758000,620,16.6,3.3,https://reiwa.com.au/suburb/two-rocks/
Upper Swan,6069,880000,800,1.1,11.1,https://reiwa.com.au/suburb/upper-swan/
Victoria Park,6100,1140000,750,14.5,-0.9,https://reiwa.com.au/suburb/victoria-park/
Viveash,6056,843000,800,47.8,0,https://reiwa.com.au/suburb/viveash/
Waikiki,6169,785000,650,14.2,4.8,https://reiwa.com.au/suburb/waikiki/
Walliston,6076,915000,800,33.6,,https://reiwa.com.au/suburb/walliston/
Wandi,6167,855000,780,13.6,14.7,https://reiwa.com.au/suburb/wandi/
Wangara,6065,,,,,https://reiwa.com.au/suburb/wangara/
